Title,Contents,Date
Very operatives and with care for…,Very operatives and with care for customers!,"Dec 8, 2019"
No issues,No issues. understood my question well and helped me out nice and efficiently.,"Dec 8, 2019"
very good,very good service,"Dec 8, 2019"
Prompt and helpful service when…,Prompt and helpful service when locating an order that hadn’t arrived.,"Dec 8, 2019"
Incredibly helpful and actually cared,"I returned an item 13 days ago and hadn't had an update. The courier picked up the item 12 days ago and ASOS still hadn't received it. I initially sent an email and Jerome stated that it was picked up yesterday, despite me sharing a screenshot confirming it was picked up well before. I was worried that I would just be brushed off, so spoke to someone via Chat. Paul, who was assigned to me, was very helpful and actually cared to review my receipt and understand exactly where my parcel was. He came across as keen as I was to get to the bottom of this. Thank you so much Paul, you provided brilliant customer service.","Updated Dec 8, 2019"
sort out problem quickly,sort out problem quicklymy case is 24385917 and served by Kirsty,"Updated Dec 8, 2019"
ASOS customer service is second to…,"ASOS customer service is second to none. Online chat with Deanna was so helpful, as are all of the other employees! I cannot fault ASOS for customer service","Dec 8, 2019"
Always very helpful!,Always very helpful!,"Dec 8, 2019"
very helpful,very helpful,"Dec 8, 2019"
Stephanie helped me with my faulty item…,"Stephanie helped me with my faulty item very quickly, I am very pleased because I imagined this to be a more tedious process. Thank you for the help.","Dec 8, 2019"
great service.,great service.,"Dec 8, 2019"
Missing item,An eyeliner was missing from my order and I was able to request a replacement within a few minutes. The live chat was very helpful and super quick!,"Dec 8, 2019"
Yusaf was very helpful and attentive.,Yusaf was very helpful and attentive.,"Dec 8, 2019"
Though online customer service chats…,Though online customer service chats can be frustrating Yusef was able to take the time to help me out and get my problem sorted!,"Dec 8, 2019"
An item was missing from my order,"An item was missing from my order. I emailed and was emailed back to say this was being looked into. The missing item was with me in a couple of days. Luckily, it wasn't something needed urgently!","Dec 8, 2019"
Such helpful customer service,I have bought off asos many times and find them such a great company. So easy to order and extremely easy returns process when required. I was due to receive a parcel which the delivery company stated was delivered and signed for however I never received this parcel. I contacted asos via live chat and they were so helpful. So happy and it is a weight off my mind for the company to make it such an easy process.,"Dec 8, 2019"
Great customer service,Great customer service,"Dec 8, 2019"
Had an issue with my order arriving…,Had an issue with my order arriving with some items missing which was annoying but I spoke to Yusuf who quickly sent me new items. Good customer service,"Dec 8, 2019"
The agent was kind and patient,The agent was kind and patient. I was waiting too long till we started to talk.,"Dec 8, 2019"
Beth is the customer service officer…,"Beth is the customer service officer for the day, awesome.","Dec 8, 2019"
Selina,Selina was very helpful today sorting out my delivery issue.,"Dec 8, 2019"
Emily was very kindly,Emily was very kindly,"Dec 8, 2019"
Hannah was clear and quick in helping…,Hannah was clear and quick in helping me with my problem. They were friendly and polite. Thank you!,"Dec 8, 2019"
Great helpful polite service on chat…,Great helpful polite service on chat from Thomas.,"Dec 8, 2019"
Customer service on Twitter is slow and deliver is rubbish,"Customer service on Twitter is the slowest I have experience for any company!Delivery is SHAMBLES! I ordered 9 items using my next day delivery on Wednesday 4th December at 7am. The items did not come the next day (Thursday 5th December).3 of my 9 items then arrived on Friday 6th December at 4:50pm. I called Asos customer services who said they would get the other items sent out to me and they would be with my by Sunday 8th December at the latest (she even said on the phone they could come on Saturday 7th December! but more likely Sunday). I asked the lady to change the delivery address to my home address as it was currently set to be sent to my work address which I am at on Monday to Friday. I then received an email today at 3am to say 3 of the 6 remaining items would be with me on Monday 9th December. The other 3 items are now out of stock (they weren’t when I ordered them!).I called Asos customer services again to ask why they are coming to me on Monday 9th December as I was told on the phone they would come today.The lady then tells me the 3 items in stock will be with you on Tuesday 10th December, not Monday 9th December like the email says! I also explained I will not be home in the week so to change the delivery address, however you are unable to change the delivery address back to my work address now?! I cannot believe this. You should be embarrassed.  I understand slow delivery and I could have handled all my orders arriving on Friday 6th December... or even today. But to now say it will be with me on Tuesday 10th December at the very earliest and that it could even take as long as the 16th December is ridiculous!Some advice - don’t use Hermes if they are being slow. It doesn’t make you look good at all.","Dec 8, 2019"
Customer service was great,"Customer service was great, had a guy named Taylor which helped me with my order. Without much delay he got it sorted for me straight away and was really understanding.","Dec 8, 2019"
I would give zero stars if I could,"I would give zero stars if I could. Non committal, unable to satisfy my complaint satisfactorily and no emphathy for my situation.","Dec 8, 2019"
Very helpful and resolved my problem.,Very helpful and resolved my problem.,"Dec 8, 2019"
The advisor I spoken to was very prompt…,The advisor I spoken to was very prompt and professional. Resolved my issue remaining polite throughout. Thank you very much.,"Dec 8, 2019"
quick help from adil,quick help from adil,"Dec 8, 2019"
The responses are pretty robotic and…,The responses are pretty robotic and didn't make me feel like my personal issue was taken care of,"Dec 8, 2019"
always a happy customer with asos.,always a happy customer with asos.,"Dec 8, 2019"
Amara was so helpful to gave me an easy…,Amara was so helpful to gave me an easy ways to deal with one of my missing item I didn't receive itAlso was kindly show me an easy way to go and use the Saudi site for find my true shoe size. Thank you Amara.,"Dec 8, 2019"
"Was of no help,robotic attitude  and…","Was of no help,robotic attitude  and had no information regarding the manner. Pathetic service","Dec 8, 2019"
The usual terrible customer service…,The usual terrible customer service from ASOS - the worst of all the online giants...,"Dec 8, 2019"
Delivery problems,Did not received my parcel. The asos customer service was really helpful and solved the problem for me.,"Dec 8, 2019"
Great!,"Bit of a wait to begin with, but excellent service.","Dec 8, 2019"
Beth was professional and I really…,Beth was professional and I really appreciate the assistance!,"Dec 8, 2019"
thank you 1,convenient and fast except this time,"Dec 8, 2019"
Excellent customer service,Speedy responses to queries and excellent customer service.,"Dec 8, 2019"
Didn't seemed to be very reputable,"Didn't seemed to be very reputable, was quite shocking about his/her grammar. Couldn't rlly help me. Maybe he/she was new in the customer service.","Dec 8, 2019"
The order i placed did not arrive on…,The order i placed did not arrive on time and asos chat service could not help to locate the issue where.They ended up issuing a credit for the amount ( still pending approval).Most probably i will not purchase from them unless they provide an efficient transport mean to sending to clients in israel with proper tracking results,"Dec 8, 2019"
Dominique was really nice and helpful.,Dominique was really nice and helpful.,"Dec 8, 2019"
The wait time,the wait time on the queue is very long. Yesterday I waited about an hour and I still didn't get anyone to chat with.,"Dec 8, 2019"
most broken customer service you'll experience,"First order with ASOS and so far it's terrible. I won't ever put order again! In short: the customer service is terrible, delivery never attempt and tracker useless, supposed to be a next day delivery 8 days later still waiting! They refuse to allow me to place a new order (the parcel is in transit somewhere) at the sale price. the customer advisors cut the chat 3x on me!!!They are useless, gestion is terrible, they don't reply. Everything is made to build frustration. They send you copy/past that are not relevant. It's an international company, well known and having funds but they can't even put a bit of money on customer care issues, RIDICULOUS. WORSTE EVER If you want the full story:My order has been placed to be sent in the evening, the courier never came. In the email I've received it's stating they attempt 2 delivery before sending the parcel back to the sender; Tracker not updated for 3 days (I've paid £8 for a next day delivery) and here is the nightmare of the customer care beginning:You can't call the service so you get this choices:-  messenger text with automatised reply - useless and no one will reply don't waist your time- email - no reply- text chat I've been in contact with 5 different persons through the chats, and it just got worst and worst;First one is asking me to wait at least one day (so a next day delivery not received and a tracker not update for 3 days is not sufficient), ok then I'll wait!Second person, is sending me copy/past of random things I already know, I've been trying to explain to her for 20 min that I'm asking for my order to be re-issued and she CLOSE the chat on me and send me an email stating I'll be refunded!I reply straight away asking to not refund but to re-issue the order (sale order) no reply;Go back on a chat get no one replying for 15 minutes and then get cut out;AGAIN on the chat end up with a person telling my order is already in Warehouse (which is not) and they can't do anything. I ask to place a new order with the same price and they refuse without any reason. Get the chat CUT ON ME AGAIN.On the chat again - what a joke -, same b*llsh*t again!!! Send a screenshot showing they should attempt to deliver twice, the person reply ""your email doesn't show your order"", LOL that's your templates go and ask you marketing team to change this!!! They say my order is at the Warehouse - which is not and I will be refunded in 7 day, but then the opposite it's still in transit and will be refunded once received. I'm losing my patience and now only copy past just as they do, over and over again - might takes me a few years before I get someone competent.Go back on the chat and get some one sending me the same things over and over again.They don't even read what you asking, they don't even know what they are doing!","Updated Dec 8, 2019"
I didn't get half of my items in my…,I didn't get half of my items in my delivery but customer service was quick (girl called Amy) and it was so easy to get the issue fixed.,"Dec 8, 2019"
Worst costumer support ever,"Worst costumer support ever, I am gonna post reviews in every available location for the bad service I got. 2 packages on mine got lost and no one wants to give me answers.","Dec 8, 2019"
Lost Order,My order was lost between asos who has the correct address and the delivery service who potentially had the wrong address. Asos managed to sort out the issue and were very helpful. Customer service is great!,"Dec 8, 2019"
My Christmas items were damaged and…,My Christmas items were damaged and sent back. They couldn’t resend them which is really annoying!,"Dec 8, 2019"
Greame ..greame ... legend,Greame ... legend,"Dec 8, 2019"
Very helpful customer service!,Very helpful customer service!I was put through to Amara on customer service who was very helpful and resolved my issue immediately!,"Dec 8, 2019"
Good shop,good online shop but should have a phone number to talk to someone regarding any enquiries,"Dec 8, 2019"
Easy to get hold of customer support…,"Easy to get hold of customer support for help (Rem (assistant who helped in particular), quick and helpful replies, solved issue quickly and easily.","Updated Dec 8, 2019"
Very responsive and helpful!,Very responsive and helpful!,"Dec 8, 2019"
Big Shout out to Oliver...,"Oliver was helping me with my 101 questions and queries today on the chat centre.  He was really helpful, its great knowing you can rely on a professional service when purchasing online to a different country in different time zones.","Dec 8, 2019"
Very helpful in identifying and sorting…,Very helpful in identifying and sorting out my problem.,"Dec 8, 2019"
BAD EXPERIENCE,"first and last time I'm going to order from asos! received a wrong order ! while I paid for express Delivery, yes I received it so fast! BUT NOT WHAT I ORDERED!","Dec 8, 2019"
faulty item,"I have recently ordered a men’s onesie which was meant to be a Christmas present, upon arriving and after checking this item I can see there was a rip in the arm. After raising this with customer services the only option was to return this item for a refund and if I were to re-order I would need to pay for delivery and then get back in touch with ASOS to have this refunded. I do not find this process helpful since you would think ASOS would offer a code at checkout however there is no real help and i feel this is a massive inconvenience especially as I waited nearly two weeks to receive this item. Not happy!","Dec 8, 2019"
Bad service all round,"Bad, don't bother with them, they will just let you down.","Dec 8, 2019"
I am really appreciative of the support…,I am really appreciative of the support I have been given today by Bethany but overall have experienced a poor customer journey. My order has not been delivered and I have received conflicting information from the customer service team and DPD and through numerous contacts have been going around in circles. Bethany was great and re raised the query but don’t think customers should be caught in between the Asos/DPD debate making the length of time to resolve the extended. I also think it is poor practice to have managers who are not customer facing in this instance. Thanks,"Dec 8, 2019"
ASOS is great until you actually have a problem!,"ASOS is great until you actually have a problem! I’ve spent the best part of 4 days now trying to contact someone, worst customer service I have ever experienced, think this will be the last time I shop with them.","Dec 8, 2019"
Very helpful,Very helpful with relatively quick reply.,"Dec 8, 2019"
Bad delivery,"Why doesn’t your company ship the goods in the order of payment? I don't think it's fair that we made orders before other customers, but had to wait longer than those customers.","Dec 8, 2019"
Great customer service by Courtney!,Great customer service by Courtney!Thank you very much!,"Dec 8, 2019"
ASOS is in my opinion the best online clothing store!,ASOS is always quick to resolve any problems-which is rare as I routinely never have any problems with ASOS as opposed to many other online store!,"Dec 8, 2019"
Never order something on next day…,Never order something on next day delivery if you actually need it the next day as it’s guaranteed not to show. Customer service not forthcoming in refunding the next day delivery charge.,"Dec 8, 2019"
very helpful and quick to sort the issue,very helpful and quick to sort the issue,"Dec 8, 2019"
Dealt with both Denisa and Martin on…,Dealt with both Denisa and Martin on your online chat regarding an order which said had been delivered but had actually not arrived with me.. both were extremely polite and helpful.. keep up the good work guys!,"Dec 8, 2019"
Quick response from customer service,"Quick response from customer service, and hopefully the issue has now been sorted","Dec 8, 2019"
2 and a half week wait for the wrong boots not once but twice?!,"When you order a pair of Ugg Boots over two weeks ago, the wrong pair sent out twice??? Customer care team have you on hold for ages then put the phone down! Then they say to send them back for a refund because there’s a problem? Yeah there is! How hard is it to get a number right???? Obviously very hard","Dec 8, 2019"
Very friendly and quick answers with…,Very friendly and quick answers with right information!,"Dec 8, 2019"
Parcel delivery,I ordered a parcel for an event on 7th December. I ordered it to be delivered on the 3rd. There was a problem with delivery (Hermes) so it was sent back. They say they will try to deliver up to 3 times after that. Nothing. All week. The event comes and I have nothing as that parcel was for the 7th. I try and contact ASOS all week and get nothing back. I finally get the online chat working and someone called Talia speaks to me. They help me out but say I have to wait until the 9th to get a full refund on my parcel because of the contract they have with Hermes. The outfit I ordered was specifically for the event on the 7th and could not go because I did not have my parcel. Hermes say they will try and deliver it up to 3 times but no attempt to delivery was made but yet I still have to wait until the 9th to get a full refund. Not happy. I use ASOS all the time and this is the worst experience I have had with them. I like ASOS hence the 3 stars and Talias help otherwise it would have been less.,"Dec 8, 2019"
Friendly Resolutions,"Quick and simple to use. Even simpler to return. And Even when there have been mix-ups or mistakes, they’ve been very friendly in dealing with resolving the issue.","Dec 8, 2019"
Customer service were very helpful…,Customer service were very helpful having order that has been held up with carrier company resent. However there should be more options than only being able to deliver with Hermes. Item ordered on next day delivery over a week ago and still not out for delivery.,"Dec 8, 2019"
Tracking returns,I would prefer having a section on the website/app to track the status of my returns instead of waiting 8 minutes to chat with someone.,"Dec 8, 2019"
Hannah was very helpful when I chatted…,Hannah was very helpful when I chatted through customer care.  Hopefully my issue has now been sorted regarding my recent order.,"Dec 8, 2019"
Got help i needed,Got help i needed. love it,"Dec 8, 2019"
Bit slow to respond but helpful.,Bit slow to respond but helpful.,"Dec 8, 2019"
Currently dealing with my request,"Currently dealing with my request, but have dealt with it in a way that gives me confidence. The advisor was calm friendly and helpful. Hopefully my issue is resolved. I’m sure it will be.","Dec 8, 2019"
Was able to answer my question and…,Was able to answer my question and provide info on order tracking,"Dec 8, 2019"
Great shopping experience online,Great experience and great customer service if needed,"Dec 8, 2019"
Quick and efficient!,Thanks for your help giving me my lost student code!,"Dec 8, 2019"
Raouf is a great representative for…,Raouf is a great representative for your brand.  Efficient; kind and eased my anxieties about receiving ill fitting shorts for a vacation in a week!,"Dec 8, 2019"
Very friendly customer care,Very friendly customer care,"Dec 8, 2019"
Very bad services,Very bad services,"Dec 8, 2019"
Wrong Shoes Delivered,"I was sent the wrong sneakers in the same size as I ordered.  It seemed to similar to a bait and switch to me. Asos sent me a cute pair of sneakers, similar in some respects to the ones I ordered hoping that I’d either like them enough to keep them or too lazy to return them...  For my first ever order I’m so very bummed and disappointed.  Glad they were for me and not a gift.","Dec 8, 2019"
Live chat extremely helpful,"Had an issue with a refund, filled in a returns faq form and was put through to Charlie on chat. He was polite, helpful and was able to sort the issue in a very timely fashion and process the remainder of my refund. Great customer service.","Dec 8, 2019"
quit the automatic answer!,Bad explanation and communication. They have been using already made answer and apologize for the confusion cause using those automatic answer. No help got.,"Dec 8, 2019"
Great service,"Although one of the item from my order was missing, I’ve contacted ASOS through live chats and one of asos operator(believe it was Nigel ) within no time solved that for me  and requested for a refund-need to say Customer service on the top level.","Dec 8, 2019"
No package,"The chat was great, just angry that my package was not received by me. First time shopping with you all and it was not a great experience!","Dec 8, 2019"
Your customer service was helpful,Your customer service was helpful. My package was not received. Upon tracking the address it was delivered to was not mine. Thank you.,"Dec 8, 2019"
Paul was very friendly and helpful,Paul was very friendly and helpful. He solved my problem right away.,"Dec 8, 2019"
Great customer service!,Great customer service!,"Dec 8, 2019"
Quick response,"Quick response, quick resolve!","Dec 7, 2019"
Kirsty was great and sorted out my…,Kirsty was great and sorted out my refund strsight away thanks so much,"Dec 7, 2019"
Very excellent service!,Very excellent service!,"Dec 7, 2019"
Charlie was quick to respond and made…,Charlie was quick to respond and made the repurchase so easy! As long as I receive my package shortly I still choose ASOS as my go to shopping spot!,"Dec 7, 2019"
I was helped by Leith today and his…,I was helped by Leith today and his customer service was very good! Thank you so much for explaining everything to me so well.,"Dec 7, 2019"
Would recommend despite my issue,"I had a few delays with delivery times and shipping, but generally understandable considering it's the week following black Friday. Customer service on live chat was very helpful and resolved my issue within minutes.","Dec 7, 2019"
Kirsty was straight to the point and…,Kirsty was straight to the point and ready to help me out. She was nice and understanding of my situation and was easily able to help me out Im super satisfied and happy with this result and look forward to supporting this company still and referinh my friends!,"Dec 7, 2019"
Kind employee,"I have to say that you have very kind, operative, fast and dedicated to customer, employee- Leith.","Updated Dec 7, 2019"
Kristy was super helpful!,Kristy was super helpful!,"Dec 7, 2019"
My purchased item arrived way ahead of…,My purchased item arrived way ahead of time via Canada international shipment.  Thanks,"Dec 7, 2019"
Three orders wrong within three months,"Three orders wrong within three months, no compensation for them messing up order other than saying reorder the same items and then sending back order, it has taken me FOUR DAYS FOR A REFUND TO BE SORTED OUT. Emails were ignored on a number of times really bad customer service, very reluctant to use ASOS again because of my experience of my past orders being messed up and now this chasing up a refund.","Dec 7, 2019"
Very helpful with one of my items missing from delivery,Very helpful with one of my items missing from delivery :)Thank you!,"Dec 7, 2019"
Great!,Great! Excellent service!,"Dec 7, 2019"
Order was wrong but customer service…,Order was wrong but customer service was very accommodating,"Dec 7, 2019"
The customer service representative…,"Order was inexplicably cancelled. The customer service representative left the conversation before all my questions were answered. The final message says a couple minutes passed, but that is not true.","Dec 7, 2019"
false promises,the customer service chat somewhat helping and reassuring but didnt solve my issue. i am very upset i paid for and was promised next day shipping and my package is going to be delivered in 3 days. i feel as though my time and money have been wasted,"Dec 7, 2019"
Ordering shoes from ASOS suck!!,"Ordering shoes from them, its a horrible experience! Because they use the UK sizes and I’m American. So If I order a US10, they always send me a UK9, which ends up being small as hell, and about the same size as a US9, so obviously not my size. I feel like you have to go up a size based on there sizing chart to actually get the right shoe size. But either way it’s annoying as hell being this has happened few times to me and don’t wanna have to remember to go up a shoe size every freakin time I order. So that whole shoe system alone could be better.","Updated Dec 7, 2019"
I hadn’t received my package and I…,I hadn’t received my package and I chatted with Charlie and had everything taken care of!,"Dec 7, 2019"
customer service A+,customer service was quick and easy to resolve.  ASOS is one of my favorite companies and I am glad that they take care of their loyal customers,"Dec 7, 2019"
Shohaib answered to my question about…,Shohaib answered to my question about returns very kindly and quickly,"Dec 7, 2019"
Excellent services,"Excellent services with the order placing, delivery and returns.","Dec 7, 2019"
Helpful,Johnathan was not only helpful but answered all the questions I had. Very sweet !,"Dec 7, 2019"
Jonathan was really patient and nice,Jonathan was really patient and nice,"Dec 7, 2019"
Delayed delivery,"My order has been delayed, went into a live chat to get an update Tucn was of no help. Only thing he provide was this link. Im really disappointed with what's happened, this has never happened to me before, I paid for next day delivery intentionally to get the order the next day","Dec 7, 2019"
Took a very long time & 2 attempts to…,Took a very long time & 2 attempts to get a chat. Once connected my problem was dealt with quickly. Hopefully the outcome will be positive.,"Dec 7, 2019"
Took forever to reply at first,"Took forever to reply at first, but later progressed. Hannah was very helpful and suggested thing i should check, which i appreciate.","Dec 7, 2019"
Took forever to reply at first,"Took forever to reply at first, but later progressed. Hannah was very helpful and suggested thing i should check, which i appreciate.","Dec 7, 2019"
Nigel-great customer support,"Nigel, my customer service rep, was excellent. My package said it was delivered, and was not anywhere. I let him know and he was kind, understanding, and responsive.","Dec 7, 2019"
1 Day Delivery problem,After problem with One Day Delivery and live chat with Leith my problem have been kinda solved and I’m expecting refund. Thank you for your help!,"Dec 7, 2019"
very helpful and sorted the issue out…,very helpful and sorted the issue out straight away,"Dec 7, 2019"
The chat was extremely helpful and…,The chat was extremely helpful and quick.,"Dec 7, 2019"
ASOS chat resolved a delivery blunder…,ASOS chat resolved a delivery blunder made by UPS quickly and efficiently. They delivered my package to the wrong address entirely ( nowhere near me)! Then had zero accountability nor any sense of urgency in their mistake. ASOS took the lead in investigating and resolving issue all via friendly chat!,"Dec 7, 2019"
Had an issue with delivery,"Had an issue with delivery, spoke to Jamal on the live chat who was able to resolve this in less then 5 mins. Great service","Dec 7, 2019"
Great customer service helped with my…,Great customer service helped with my refund and nothing was too much bother Delivery always on time and good quality,"Dec 7, 2019"
Very helpful and sorted my problem…,Very helpful and sorted my problem straight away.,"Dec 7, 2019"
Easy to talk to when got through on…,Easy to talk to when got through on live chat and solved the situation easily.,"Dec 7, 2019"
The chat guy,"The chat guy, Arnie, was great, reassuring and friendly! Really helped out with my delivery issue.","Dec 7, 2019"
Good customer service,Delivery was missing items but customer service fix issue very fast and effectively,"Dec 7, 2019"
Quick and helpful costumer service and great quality clothes,"I have ordered Asos products a few times and they have always been of high quality and good fit. Whenever I've had any problems or decided to ship anything back customer service has always been quick, friendly, and reliable. Overall a great shopping experience every time","Dec 7, 2019"
I like it but not the delivery in certain countrys,"I really like the brand, but the delivery is kind of slow in some countrys, cause I have ask for orders in US and the delivery is really fast and more explainful, and in oder countrys like Mexico the delivery is slow and without detailsAlso the clothes are really good","Dec 7, 2019"
Awful quality.,Awful quality.Dreadful fit. Shocking customer service!,"Dec 7, 2019"
Quick and easy,Quick and easy,"Dec 7, 2019"
An assistant name Doniquebreally help…,An assistant name Doniquebreally help me sol e my issue with my delivery by being effective and effecient.,"Dec 7, 2019"
Nice Website,Nice Website! Nice goods!! prices have increased over time while quality overall decreased.. that's a shame.. The company is although great and I highly enjoy shopping online with them.,"Dec 7, 2019"
poor experience,"replies are not very polite, missed out on some questions i asked","Dec 7, 2019"
JAVERIA was very friendly!,JAVERIA was very friendly!,"Dec 7, 2019"
Erim was very helpful even though the…,Erim was very helpful even though the matter wasn’t able to be resolved.,"Dec 7, 2019"
Great customer service,"Great customer service, delivery not so good","Dec 7, 2019"
Ella was extremely helpful,Ella was extremely helpful and ensured that my refund was processed in a timely manner.Thank you for being so friendly and personable Ella!!,"Dec 7, 2019"
"Wonderful, but recent uptick in missing items.","I love Asos. I've shopped here for years, and rarely have issues with them. The customer service is always outstanding and quick. I pay for express delivery membership, so shipping is always lightning fast. However, I've had a major uptick in the amount of times items have been missing from my package. I don't think that this is necessarily their fault, but maybe if items were sent in boxes instead of bags, it'd happen less.","Dec 7, 2019"
ASOS live chat customer service is terrible,ASOS is amazing I love it. This review is about the appalling and inconsiderate customer service I received over the live chat. I feel as though the advisor called Thomas didn’t care about my misinformation by ASOS and my need for my order. Please read the full chat for further information. The chat reference is 24365898Thank you,"Dec 7, 2019"
Knowledgable staff which dealt with my…,"Knowledgable staff which dealt with my enquiry promptly, in full. Great that there’s different options to communicate such as social media and email.","Dec 7, 2019"
I received an incorrect item,"I received an incorrect item, a extra small crop top rather than a size 10 maternity dress. Rather than be able to directly help me I've been pushed around to different departments while the only item that I wanted is selling out. The company can potentially give me a code but with no estimate as to how long it'll take. All the while I'm sitting here with an extra small crop top. There is no contact number where I can call and speak to anyone directly other than the chat function which representatives can only give me the same information about returning an item which I can find online.","Dec 7, 2019"
Delivery failed by Asos then had to pay…,Delivery failed by Asos then had to pay full price to reorder item due to their incompetent courier How hard is it to get a parcel delivered to a DPD pick up Customer services useless wait 10 days for it to arrive back before refund?And order at higher price Thanks Asos now down over £100,"Dec 7, 2019"
Can never go wrong with ASOS,Can never go wrong with ASOS,"Dec 7, 2019"
Brilliant customer service,"Had some problems with delivery on the shipping company's part, but the customer service staff is incredible and they have helped me arrange a replacement! Thanks to Ben specifically :)","Dec 7, 2019"
asos will NOT resolve my issue,I had to get a replacement dress due to original option having holes in the lace - customer service said *in writing* that they would cover overnight shipping on my new order so that I would have something to wear in time for a wedding! Now they are refusing to reimburse the shipping charges. Unfortunately they have lost a customer.  Very poor service follow-through.,"Dec 7, 2019"
Great customer support on live chat.,Great customer support on live chat.,"Dec 7, 2019"
Helpful as always,"Shannon was extremely helpful and efficient. No wasted time, just the result I wanted. Every experience I've ever had with Asos has been incredibly positive.","Dec 7, 2019"
I paid extra for my packages to arrive…,"I paid extra for my packages to arrive last week. They still have not arrived. So, what was the point of paying extra? I am not sure. Disappointed.","Dec 7, 2019"
Amazing ASOS,"Anytime I've contacted them (usually Live Chat), each advisor has always been so friendly and helpful, no matter the query! Have shopped (and spent A LOT) with ASOS, and will only continue! :)","Dec 7, 2019"
Very helpful and friendly service,Very helpful and friendly service. Quick resolution and actual human responses (unlike Most robotic customer services). ASOS is probably one of the best customer services I’ve experienced,"Dec 7, 2019"
Niamh was really helpful,Really helpfulNiamh was really helpful - I had so many questions and she answered all of them helpfully and efficiently. Thanks! Great service!,"Dec 7, 2019"
Rhiannon was very helpful with helping…,Rhiannon was very helpful with helping me with my returns Everything was settled very quickly.,"Dec 7, 2019"
Customer service is great,"Delivery is a bit bad lately, but customer service in the chat is always helpful.","Dec 7, 2019"
Very helpful and went out of way to…,Very helpful and went out of way to help me! Thank you Denisa,"Dec 7, 2019"
Excellent service,"Charlie was nice, quick and a pleasure to speak to. I requested a refund for a faulty item after providing some photos and explanation and a resolution was instantly given.","Dec 7, 2019"
Rem was extremely helpful and dealt…,Rem was extremely helpful and dealt with my query immediately.,"Dec 7, 2019"
Javeria from live chat demonstrated an…,"Javeria from live chat demonstrated an excellent customer service.It is so rare finding a company with a great customer service, who listens and genuinely tries to help instead of seeing you just another number. It is very impressive that a big brand like Asos can offer such an amazing customer service. Mistakes can happen, especially this time of the year, but I am really happy how your customer service trying their best to make it right again. Thank you.","Dec 7, 2019"
Utterly farcical,"Utterly farcical, waited 5 days longer than the specified delivery day which I paid extra to have, after spending 2hrs+ over 3 separate occasions, finally found out that the delivery never even left the warehouse. Received unintended emails asking me to return the delivery I never received, was told I couldn't get the refund for the premier delivery service at the same time as the refund for my clothes,because a specialist team need to process it! Then the advisor dropped the chat window without resolving everything. This is a disgrace of a business on all fronts and I have absolutely no intention of going anywhere near them again. I'm only hoping they don't mess up the refund of the delivery charge, and I need to go through the only terrible channels of communication they offer.","Dec 7, 2019"
Terrible operations and service,"Terrible service. Lost my return package. Apparently It's a well known problem that they loose packages all the time, Unfortunately I didn't know that and this time I forgot to retain the evidence. You would think that they would document the return label that they include with your order in the event that it gets lost but nope they have no clue!   It's really put me off shopping on there again. It's always better to shop at brands who value you not put you out of pocket for over £100. It might be a small amount to them but its not to the average customer.","Dec 7, 2019"
All is good,All is good. Thanks,"Dec 7, 2019"
Great,Took a while to connect but got the answer immediately once connected! Very polite and friendly customer service :),"Dec 7, 2019"
Slow to get someone connected but…,Slow to get someone connected but otherwise great service!,"Dec 7, 2019"
very very helpful and quick,very very helpful and quick,"Dec 7, 2019"
Such a quick and efficient service,Such a quick and efficient service. Customer care solved everything so quickly and pleasantly.,"Dec 7, 2019"
Nice customer service!,"Even though I got my Dr. Martens in wrong size, I am very happy with the overall experience. I would like to thank Raouf in Customer Service who I talked to on your live chat. It was a very pleasant experience and I got all the info I needed. I love the fact that if I get a refund because the boots I ordered are not in stock I can still get them replaced afterwards for the same price I did the first time (since they were a Black Friday order). That is an example of great care for customers and I will surely buy on ASOS again.","Dec 7, 2019"
Rebecca was absolutely lovely and…,"Rebecca was absolutely lovely and extremely helpful. My experience with Asos' customer care wasn't great, but Rebecca did her job well and helped me with my issue.","Dec 7, 2019"
Worst company I have ever dealt with - Read up on your comsumer rights before using them,"Worst company I have ever dealt with. Used to order from them a lot a few years ago but stopped after getting fed up with delivery problems and being sent an expensive wool jumper which had clearly been shrunk in the wash. Customer service were a nightmare to deal with and they never refunded return postage for faulty products. The company was more hassle than they were worth.A few years later and I decided to order a christmas present for a family member from them on black friday. Big mistake. They took payment and dispatched the order. However, the order has been marked as delivered despite no attempted delivery to the address specified on the order, no correspondance from the courier (fastway) and no indication as to where the parcel was left. This has happened purely because they have chosen to use the worst courier company available. Anyway, I emailed them 3 days ago expalining the situation and asking for the order to be delivered to the correct address or for a refund. They haven't even bothered to reply and there's not even a phone number for customer service. I'm now left without my order despite having being charged and these guys don't even have the courtesy to reply to my emails. Save yourself the hassle everyone. I won't be ordering from ASOS again.At this point, I'll now either have to decide whether to get paypal to action a chargeback or take them to small claims court for the money they have taken from me. Honestly, I don't know how so many people use this company. Their prices aren't cheap ( generally you can find same products cheaper elsewhere unless on sale). Their customer service is the worst I have ever experienced. They use the delivery company (fastway couriers) with the worst reputation and they ignore consumer law.","Dec 7, 2019"
Excellent customer service,Excellent customer service,"Dec 7, 2019"
Great customer service,Great customer service,"Dec 7, 2019"
Asos customer service are great,Asos customer service have never done anything but be awesome with me they are great to loyal customers.,"Dec 7, 2019"
Friendly staff,"Friendly staff, my problem was solved within minutes.Thank you!","Dec 7, 2019"
